"Time (CET)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"27.03.2018 08:00 - 27.03.2018 09:00","6759","6609"
"27.03.2018 09:00 - 27.03.2018 10:00","6900","6641"
"27.03.2018 10:00 - 27.03.2018 11:00","6917","6620"
"27.03.2018 11:00 - 27.03.2018 12:00","6851","6513"
"27.03.2018 12:00 - 27.03.2018 13:00","6774","6288"
"27.03.2018 13:00 - 27.03.2018 14:00","6510","6060"
"27.03.2018 14:00 - 27.03.2018 15:00","6281","6021"
"27.03.2018 15:00 - 27.03.2018 16:00","6074","5816"
"27.03.2018 16:00 - 27.03.2018 17:00","5961","5653"
"27.03.2018 17:00 - 27.03.2018 18:00","6017","5764"
"27.03.2018 18:00 - 27.03.2018 19:00","6353","6144"
"27.03.2018 19:00 - 27.03.2018 20:00","6938","6858"
"27.03.2018 20:00 - 27.03.2018 21:00","6817","6774"
"27.03.2018 21:00 - 27.03.2018 22:00","6178","6206"
"27.03.2018 22:00 - 27.03.2018 23:00","5708","5767"
"27.03.2018 23:00 - 28.03.2018 00:00","5288","5193"
"28.03.2018 00:00 - 28.03.2018 01:00","4798","4691"
"28.03.2018 01:00 - 28.03.2018 02:00","4737","4616"
"28.03.2018 02:00 - 28.03.2018 03:00","4587","4486"
"28.03.2018 03:00 - 28.03.2018 04:00","4526","4458"
"28.03.2018 04:00 - 28.03.2018 05:00","4666","4549"
"28.03.2018 05:00 - 28.03.2018 06:00","5085","5013"
"28.03.2018 06:00 - 28.03.2018 07:00","5792","5675"
"28.03.2018 07:00 - 28.03.2018 08:00","6244","6208"
"28.03.2018 08:00 - 28.03.2018 09:00","6567","6569"
"28.03.2018 09:00 - 28.03.2018 10:00","6708","6557"
"28.03.2018 10:00 - 28.03.2018 11:00","6657","6545"
"28.03.2018 11:00 - 28.03.2018 12:00","6566","6463"
"28.03.2018 12:00 - 28.03.2018 13:00","6460","6324"
"28.03.2018 13:00 - 28.03.2018 14:00","6293","6139"
"28.03.2018 14:00 - 28.03.2018 15:00","6221","6205"
"28.03.2018 15:00 - 28.03.2018 16:00","6027","6002"
"28.03.2018 16:00 - 28.03.2018 17:00","5869","5800"
"28.03.2018 17:00 - 28.03.2018 18:00","5945","5850"
"28.03.2018 18:00 - 28.03.2018 19:00","6329","6206"
"28.03.2018 19:00 - 28.03.2018 20:00","6988","6948"
"28.03.2018 20:00 - 28.03.2018 21:00","6937","6874"
"28.03.2018 21:00 - 28.03.2018 22:00","6308","6217"
"28.03.2018 22:00 - 28.03.2018 23:00","5868","5758"
"28.03.2018 23:00 - 29.03.2018 00:00","5284","5105"
"29.03.2018 00:00 - 29.03.2018 01:00","4818","4638"
"29.03.2018 01:00 - 29.03.2018 02:00","4745","4582"
"29.03.2018 02:00 - 29.03.2018 03:00","4587","4445"
"29.03.2018 03:00 - 29.03.2018 04:00","4522","4356"
"29.03.2018 04:00 - 29.03.2018 05:00","4631","4470"
"29.03.2018 05:00 - 29.03.2018 06:00","5119","4976"
"29.03.2018 06:00 - 29.03.2018 07:00","5775","5637"
"29.03.2018 07:00 - 29.03.2018 08:00","6321","6056"
"29.03.2018 08:00 - 29.03.2018 09:00","6664","6330"
"29.03.2018 09:00 - 29.03.2018 10:00","6598","6372"
"29.03.2018 10:00 - 29.03.2018 11:00","6544","6373"
"29.03.2018 11:00 - 29.03.2018 12:00","6382","6361"
"29.03.2018 12:00 - 29.03.2018 13:00","6228","6305"
"29.03.2018 13:00 - 29.03.2018 14:00","6078","6074"
"29.03.2018 14:00 - 29.03.2018 15:00","6005","5996"
"29.03.2018 15:00 - 29.03.2018 16:00","5950","5764"
"29.03.2018 16:00 - 29.03.2018 17:00","5850","5564"
"29.03.2018 17:00 - 29.03.2018 18:00","6038","5551"
"29.03.2018 18:00 - 29.03.2018 19:00","6366","6047"
"29.03.2018 19:00 - 29.03.2018 20:00","6960","6851"
"29.03.2018 20:00 - 29.03.2018 21:00","6929","6857"
"29.03.2018 21:00 - 29.03.2018 22:00","6323","6281"
"29.03.2018 22:00 - 29.03.2018 23:00","5913","5869"
"29.03.2018 23:00 - 30.03.2018 00:00","5083","5290"
"30.03.2018 00:00 - 30.03.2018 01:00","4627","4781"
"30.03.2018 01:00 - 30.03.2018 02:00","4546","4664"
"30.03.2018 02:00 - 30.03.2018 03:00","4415","4461"
"30.03.2018 03:00 - 30.03.2018 04:00","4331","4428"
"30.03.2018 04:00 - 30.03.2018 05:00","4451","4543"
"30.03.2018 05:00 - 30.03.2018 06:00","4960","4987"
"30.03.2018 06:00 - 30.03.2018 07:00","5642","5630"
"30.03.2018 07:00 - 30.03.2018 08:00","5994","6095"
"30.03.2018 08:00 - 30.03.2018 09:00","6130","6355"
"30.03.2018 09:00 - 30.03.2018 10:00","6269","6382"
"30.03.2018 10:00 - 30.03.2018 11:00","6333","6349"
"30.03.2018 11:00 - 30.03.2018 12:00","6382","6264"
"30.03.2018 12:00 - 30.03.2018 13:00","6312","6165"
"30.03.2018 13:00 - 30.03.2018 14:00","6153","5931"
"30.03.2018 14:00 - 30.03.2018 15:00","6086","5844"
"30.03.2018 15:00 - 30.03.2018 16:00","5891","5636"
"30.03.2018 16:00 - 30.03.2018 17:00","5762","5437"
"30.03.2018 17:00 - 30.03.2018 18:00","5940","5465"
"30.03.2018 18:00 - 30.03.2018 19:00","6283","5781"
"30.03.2018 19:00 - 30.03.2018 20:00","6939","6591"
"30.03.2018 20:00 - 30.03.2018 21:00","6849","6553"
"30.03.2018 21:00 - 30.03.2018 22:00","6221","6008"
"30.03.2018 22:00 - 30.03.2018 23:00","5772","5674"
"30.03.2018 23:00 - 31.03.2018 00:00","5306","5162"
"31.03.2018 00:00 - 31.03.2018 01:00","4799","4722"
"31.03.2018 01:00 - 31.03.2018 02:00","4659","4567"
"31.03.2018 02:00 - 31.03.2018 03:00","4478","4420"
"31.03.2018 03:00 - 31.03.2018 04:00","4393","4327"
"31.03.2018 04:00 - 31.03.2018 05:00","4433","4373"
"31.03.2018 05:00 - 31.03.2018 06:00","4582","4592"
"31.03.2018 06:00 - 31.03.2018 07:00","4826","4772"
"31.03.2018 07:00 - 31.03.2018 08:00","5339","5275"
"31.03.2018 08:00 - 31.03.2018 09:00","5767","5772"
"31.03.2018 09:00 - 31.03.2018 10:00","6032","6052"
"31.03.2018 10:00 - 31.03.2018 11:00","6145","6205"
"31.03.2018 11:00 - 31.03.2018 12:00","6225","6308"
"31.03.2018 12:00 - 31.03.2018 13:00","6211","6218"
"31.03.2018 13:00 - 31.03.2018 14:00","5945","5994"
"31.03.2018 14:00 - 31.03.2018 15:00","5819","5861"
"31.03.2018 15:00 - 31.03.2018 16:00","5621","5699"
"31.03.2018 16:00 - 31.03.2018 17:00","5418","5460"
"31.03.2018 17:00 - 31.03.2018 18:00","5549","5472"
"31.03.2018 18:00 - 31.03.2018 19:00","5945","5861"
"31.03.2018 19:00 - 31.03.2018 20:00","6533","6509"
"31.03.2018 20:00 - 31.03.2018 21:00","6433","6355"
"31.03.2018 21:00 - 31.03.2018 22:00","5906","5832"
"31.03.2018 22:00 - 31.03.2018 23:00","5506","5382"
"31.03.2018 23:00 - 01.04.2018 00:00","4933","4836"
"01.04.2018 00:00 - 01.04.2018 01:00","4536","4412"
"01.04.2018 01:00 - 01.04.2018 02:00","4397","4242"
"01.04.2018 02:00 - 01.04.2018 03:00","4234","4052"
"01.04.2018 03:00 - 01.04.2018 04:00","4131","3971"
"01.04.2018 04:00 - 01.04.2018 05:00","4151","3985"
"01.04.2018 05:00 - 01.04.2018 06:00","4231","4097"
"01.04.2018 06:00 - 01.04.2018 07:00","4368","4190"
"01.04.2018 07:00 - 01.04.2018 08:00","4754","4513"
"01.04.2018 08:00 - 01.04.2018 09:00","5241","4808"
"01.04.2018 09:00 - 01.04.2018 10:00","5708","5115"
"01.04.2018 10:00 - 01.04.2018 11:00","6018","5464"
"01.04.2018 11:00 - 01.04.2018 12:00","6131","5611"
"01.04.2018 12:00 - 01.04.2018 13:00","5977","5533"
"01.04.2018 13:00 - 01.04.2018 14:00","5518","5097"
"01.04.2018 14:00 - 01.04.2018 15:00","5356","4962"
"01.04.2018 15:00 - 01.04.2018 16:00","5191","4801"
"01.04.2018 16:00 - 01.04.2018 17:00","5045","4695"
"01.04.2018 17:00 - 01.04.2018 18:00","5123","4737"
"01.04.2018 18:00 - 01.04.2018 19:00","5525","5026"
"01.04.2018 19:00 - 01.04.2018 20:00","6101","5881"
"01.04.2018 20:00 - 01.04.2018 21:00","6111","6005"
"01.04.2018 21:00 - 01.04.2018 22:00","5652","5625"
"01.04.2018 22:00 - 01.04.2018 23:00","5231","5208"
"01.04.2018 23:00 - 02.04.2018 00:00","4577","4689"
"02.04.2018 00:00 - 02.04.2018 01:00","4210","4249"
"02.04.2018 01:00 - 02.04.2018 02:00","4114","4173"
"02.04.2018 02:00 - 02.04.2018 03:00","4000","4053"
"02.04.2018 03:00 - 02.04.2018 04:00","3958","4004"
"02.04.2018 04:00 - 02.04.2018 05:00","4068","4180"
"02.04.2018 05:00 - 02.04.2018 06:00","4447","4652"
"02.04.2018 06:00 - 02.04.2018 07:00","5084","5196"
"02.04.2018 07:00 - 02.04.2018 08:00","5572","5802"
"02.04.2018 08:00 - 02.04.2018 09:00","5915","6213"
"02.04.2018 09:00 - 02.04.2018 10:00","5989","6298"
"02.04.2018 10:00 - 02.04.2018 11:00","6032","6322"
"02.04.2018 11:00 - 02.04.2018 12:00","6055","6283"
"02.04.2018 12:00 - 02.04.2018 13:00","6017","6198"
"02.04.2018 13:00 - 02.04.2018 14:00","5805","5903"
"02.04.2018 14:00 - 02.04.2018 15:00","5656","5775"
"02.04.2018 15:00 - 02.04.2018 16:00","5431","5546"
"02.04.2018 16:00 - 02.04.2018 17:00","5303","5312"
"02.04.2018 17:00 - 02.04.2018 18:00","5415","5316"
"02.04.2018 18:00 - 02.04.2018 19:00","5850","5598"
"02.04.2018 19:00 - 02.04.2018 20:00","6557","6439"
"02.04.2018 20:00 - 02.04.2018 21:00","6518","6449"
"02.04.2018 21:00 - 02.04.2018 22:00","5840","5908"
"02.04.2018 22:00 - 02.04.2018 23:00","5367","5512"
"02.04.2018 23:00 - 03.04.2018 00:00","4877","4983"
"03.04.2018 00:00 - 03.04.2018 01:00","4480","4590"
"03.04.2018 01:00 - 03.04.2018 02:00","4364","4511"
"03.04.2018 02:00 - 03.04.2018 03:00","4251","4372"
"03.04.2018 03:00 - 03.04.2018 04:00","4197","4354"
"03.04.2018 04:00 - 03.04.2018 05:00","4357","4456"
"03.04.2018 05:00 - 03.04.2018 06:00","4767","4816"
"03.04.2018 06:00 - 03.04.2018 07:00","5371","5273"
"03.04.2018 07:00 - 03.04.2018 08:00","5861","5793"
"03.04.2018 08:00 - 03.04.2018 09:00","6185","6110"
"03.04.2018 09:00 - 03.04.2018 10:00","6185","6158"
"03.04.2018 10:00 - 03.04.2018 11:00","6190","6182"
"03.04.2018 11:00 - 03.04.2018 12:00","6180","6172"
"03.04.2018 12:00 - 03.04.2018 13:00","6051","6070"
"03.04.2018 13:00 - 03.04.2018 14:00","5801","5841"
"03.04.2018 14:00 - 03.04.2018 15:00","5683","5731"
"03.04.2018 15:00 - 03.04.2018 16:00","5460","5496"
"03.04.2018 16:00 - 03.04.2018 17:00","5361","5362"
"03.04.2018 17:00 - 03.04.2018 18:00","5484","5397"
"03.04.2018 18:00 - 03.04.2018 19:00","5865","5623"
"03.04.2018 19:00 - 03.04.2018 20:00","6608","6356"
"03.04.2018 20:00 - 03.04.2018 21:00","6569","6429"
"03.04.2018 21:00 - 03.04.2018 22:00","5949","5997"
"03.04.2018 22:00 - 03.04.2018 23:00","5467","5562"
"03.04.2018 23:00 - 04.04.2018 00:00","4927","4982"
"04.04.2018 00:00 - 04.04.2018 01:00","4518","4535"
"04.04.2018 01:00 - 04.04.2018 02:00","4434","4406"
"04.04.2018 02:00 - 04.04.2018 03:00","4309","4294"
"04.04.2018 03:00 - 04.04.2018 04:00","4266","4241"
"04.04.2018 04:00 - 04.04.2018 05:00","4396","4368"
"04.04.2018 05:00 - 04.04.2018 06:00","4755","4733"
"04.04.2018 06:00 - 04.04.2018 07:00","5294","5191"
"04.04.2018 07:00 - 04.04.2018 08:00","5751","5755"
"04.04.2018 08:00 - 04.04.2018 09:00","5971","6137"
"04.04.2018 09:00 - 04.04.2018 10:00","6072","6184"
"04.04.2018 10:00 - 04.04.2018 11:00","6102","6136"
"04.04.2018 11:00 - 04.04.2018 12:00","6119","6112"
"04.04.2018 12:00 - 04.04.2018 13:00","6026","6052"
"04.04.2018 13:00 - 04.04.2018 14:00","5785","5791"
"04.04.2018 14:00 - 04.04.2018 15:00","5657","5669"
"04.04.2018 15:00 - 04.04.2018 16:00","5449","5461"
"04.04.2018 16:00 - 04.04.2018 17:00","5333","5271"
"04.04.2018 17:00 - 04.04.2018 18:00","5435","5257"
"04.04.2018 18:00 - 04.04.2018 19:00","5758","5523"
"04.04.2018 19:00 - 04.04.2018 20:00","6467","6369"
"04.04.2018 20:00 - 04.04.2018 21:00","6477","6393"
"04.04.2018 21:00 - 04.04.2018 22:00","5908","5884"
"04.04.2018 22:00 - 04.04.2018 23:00","5506","5385"
"04.04.2018 23:00 - 05.04.2018 00:00","4964","4832"
"05.04.2018 00:00 - 05.04.2018 01:00","4525","4445"
"05.04.2018 01:00 - 05.04.2018 02:00","4391","4337"
"05.04.2018 02:00 - 05.04.2018 03:00","4266","4211"
"05.04.2018 03:00 - 05.04.2018 04:00","4213","4169"
"05.04.2018 04:00 - 05.04.2018 05:00","4333","4269"
"05.04.2018 05:00 - 05.04.2018 06:00","4693","4594"
"05.04.2018 06:00 - 05.04.2018 07:00","5181","4986"
"05.04.2018 07:00 - 05.04.2018 08:00","5655","5613"
"05.04.2018 08:00 - 05.04.2018 09:00","5843","5896"
"05.04.2018 09:00 - 05.04.2018 10:00","5927","6000"
"05.04.2018 10:00 - 05.04.2018 11:00","6046","6043"
"05.04.2018 11:00 - 05.04.2018 12:00","6073","6053"
"05.04.2018 12:00 - 05.04.2018 13:00","6020","5946"
"05.04.2018 13:00 - 05.04.2018 14:00","5781","5689"
"05.04.2018 14:00 - 05.04.2018 15:00","5608","5585"
"05.04.2018 15:00 - 05.04.2018 16:00","5414","5385"
"05.04.2018 16:00 - 05.04.2018 17:00","5353","5231"
"05.04.2018 17:00 - 05.04.2018 18:00","5438","5177"
"05.04.2018 18:00 - 05.04.2018 19:00","5643","5344"
"05.04.2018 19:00 - 05.04.2018 20:00","6304","5895"
"05.04.2018 20:00 - 05.04.2018 21:00","6363","5822"
"05.04.2018 21:00 - 05.04.2018 22:00","5865","5510"
"05.04.2018 22:00 - 05.04.2018 23:00","5343","5230"
"05.04.2018 23:00 - 06.04.2018 00:00","4825","4758"
"06.04.2018 00:00 - 06.04.2018 01:00","4376","4340"
"06.04.2018 01:00 - 06.04.2018 02:00","4222","4203"
"06.04.2018 02:00 - 06.04.2018 03:00","4056","4051"
"06.04.2018 03:00 - 06.04.2018 04:00","3964","3926"
"06.04.2018 04:00 - 06.04.2018 05:00","3993","3904"
"06.04.2018 05:00 - 06.04.2018 06:00","4083","3979"
"06.04.2018 06:00 - 06.04.2018 07:00","4273","3988"
"06.04.2018 07:00 - 06.04.2018 08:00","4590","4283"
"06.04.2018 08:00 - 06.04.2018 09:00","4892","4650"
"06.04.2018 09:00 - 06.04.2018 10:00","5055","4775"
"06.04.2018 10:00 - 06.04.2018 11:00","5169","4834"
"06.04.2018 11:00 - 06.04.2018 12:00","5285","4888"
"06.04.2018 12:00 - 06.04.2018 13:00","5342","4916"
"06.04.2018 13:00 - 06.04.2018 14:00","5257","4738"
"06.04.2018 14:00 - 06.04.2018 15:00","5229","4710"
"06.04.2018 15:00 - 06.04.2018 16:00","5114","4648"
"06.04.2018 16:00 - 06.04.2018 17:00","4992","4641"
"06.04.2018 17:00 - 06.04.2018 18:00","5012","4773"
"06.04.2018 18:00 - 06.04.2018 19:00","5184","4963"
"06.04.2018 19:00 - 06.04.2018 20:00","5535","5308"
"06.04.2018 20:00 - 06.04.2018 21:00","5384","5112"
"06.04.2018 21:00 - 06.04.2018 22:00","5305","5013"
"06.04.2018 22:00 - 06.04.2018 23:00","5054","4740"
"06.04.2018 23:00 - 07.04.2018 00:00","4475","4120"
"07.04.2018 00:00 - 07.04.2018 01:00","4106","3781"
"07.04.2018 01:00 - 07.04.2018 02:00","3963","3684"
"07.04.2018 02:00 - 07.04.2018 03:00","3816","3536"
"07.04.2018 03:00 - 07.04.2018 04:00","3743","3467"
"07.04.2018 04:00 - 07.04.2018 05:00","3794","3538"
"07.04.2018 05:00 - 07.04.2018 06:00","3933","3651"
"07.04.2018 06:00 - 07.04.2018 07:00","4210","3848"
"07.04.2018 07:00 - 07.04.2018 08:00","4690","4173"
"07.04.2018 08:00 - 07.04.2018 09:00","5159","4482"
"07.04.2018 09:00 - 07.04.2018 10:00","5424","4705"
"07.04.2018 10:00 - 07.04.2018 11:00","5601","4834"
"07.04.2018 11:00 - 07.04.2018 12:00","5696","5066"
"07.04.2018 12:00 - 07.04.2018 13:00","5681","5077"
"07.04.2018 13:00 - 07.04.2018 14:00","5491","4751"
"07.04.2018 14:00 - 07.04.2018 15:00","5444","4714"
"07.04.2018 15:00 - 07.04.2018 16:00","5353","4651"
"07.04.2018 16:00 - 07.04.2018 17:00","5316","4707"
"07.04.2018 17:00 - 07.04.2018 18:00","5458","5011"
"07.04.2018 18:00 - 07.04.2018 19:00","5817","5384"
"07.04.2018 19:00 - 07.04.2018 20:00","6544","6143"
"07.04.2018 20:00 - 07.04.2018 21:00","6584","6035"
"07.04.2018 21:00 - 07.04.2018 22:00","5915","5403"
"07.04.2018 22:00 - 07.04.2018 23:00","5134","4658"
"07.04.2018 23:00 - 08.04.2018 00:00","4557","4419"
"08.04.2018 00:00 - 08.04.2018 01:00","4277","4147"
"08.04.2018 01:00 - 08.04.2018 02:00","4084","3982"
"08.04.2018 02:00 - 08.04.2018 03:00","3808","3662"
"08.04.2018 03:00 - 08.04.2018 04:00","3636","3494"
"08.04.2018 04:00 - 08.04.2018 05:00","3625","3460"
"08.04.2018 05:00 - 08.04.2018 06:00","3595","3503"
"08.04.2018 06:00 - 08.04.2018 07:00","3604","3523"
"08.04.2018 07:00 - 08.04.2018 08:00","3913","3884"
"08.04.2018 08:00 - 08.04.2018 09:00","4351","4334"
"08.04.2018 09:00 - 08.04.2018 10:00","4675","4650"
"08.04.2018 10:00 - 08.04.2018 11:00","4724","4703"
"08.04.2018 11:00 - 08.04.2018 12:00","4555","4504"
"08.04.2018 12:00 - 08.04.2018 13:00","4212","4194"
"08.04.2018 13:00 - 08.04.2018 14:00","3841","3801"
"08.04.2018 14:00 - 08.04.2018 15:00","3803","3698"
"08.04.2018 15:00 - 08.04.2018 16:00","3773","3640"
"08.04.2018 16:00 - 08.04.2018 17:00","3709","3583"
"08.04.2018 17:00 - 08.04.2018 18:00","3818","3603"
"08.04.2018 18:00 - 08.04.2018 19:00","4112","3828"
"08.04.2018 19:00 - 08.04.2018 20:00","4797","4608"
"08.04.2018 20:00 - 08.04.2018 21:00","5026","4776"
"08.04.2018 21:00 - 08.04.2018 22:00","4727","4550"
"08.04.2018 22:00 - 08.04.2018 23:00","4447","4249"
"08.04.2018 23:00 - 09.04.2018 00:00","3986","3842"
"09.04.2018 00:00 - 09.04.2018 01:00","3697","3586"
"09.04.2018 01:00 - 09.04.2018 02:00","3604","3499"
"09.04.2018 02:00 - 09.04.2018 03:00","3488","3395"
"09.04.2018 03:00 - 09.04.2018 04:00","3435","3350"
"09.04.2018 04:00 - 09.04.2018 05:00","3465","3340"
"09.04.2018 05:00 - 09.04.2018 06:00","3455","3356"
"09.04.2018 06:00 - 09.04.2018 07:00","3546","3361"
"09.04.2018 07:00 - 09.04.2018 08:00","3865","3640"
"09.04.2018 08:00 - 09.04.2018 09:00","4220","4018"
"09.04.2018 09:00 - 09.04.2018 10:00","4528","4369"
"09.04.2018 10:00 - 09.04.2018 11:00","4689","4530"
"09.04.2018 11:00 - 09.04.2018 12:00","4803","4606"
"09.04.2018 12:00 - 09.04.2018 13:00","4749","4569"
"09.04.2018 13:00 - 09.04.2018 14:00","4450","4324"
"09.04.2018 14:00 - 09.04.2018 15:00","4284","4149"
"09.04.2018 15:00 - 09.04.2018 16:00","4201","4029"
"09.04.2018 16:00 - 09.04.2018 17:00","4121","3962"
"09.04.2018 17:00 - 09.04.2018 18:00","4258","4039"
"09.04.2018 18:00 - 09.04.2018 19:00","4649","4378"
"09.04.2018 19:00 - 09.04.2018 20:00","5237","5088"
"09.04.2018 20:00 - 09.04.2018 21:00","5336","5205"
"09.04.2018 21:00 - 09.04.2018 22:00","4948","4859"
"09.04.2018 22:00 - 09.04.2018 23:00","4587","4475"
"09.04.2018 23:00 - 10.04.2018 00:00","4233","4044"
"10.04.2018 00:00 - 10.04.2018 01:00","3914","3734"
"10.04.2018 01:00 - 10.04.2018 02:00","3802","3610"
"10.04.2018 02:00 - 10.04.2018 03:00","3665","3533"
"10.04.2018 03:00 - 10.04.2018 04:00","3673","3528"
"10.04.2018 04:00 - 10.04.2018 05:00","3783","3642"
"10.04.2018 05:00 - 10.04.2018 06:00","4032","3958"
"10.04.2018 06:00 - 10.04.2018 07:00","4489","4374"
"10.04.2018 07:00 - 10.04.2018 08:00","5039","4935"
"10.04.2018 08:00 - 10.04.2018 09:00","5361","5360"
"10.04.2018 09:00 - 10.04.2018 10:00","5601","5588"
"10.04.2018 10:00 - 10.04.2018 11:00","5805","5716"
"10.04.2018 11:00 - 10.04.2018 12:00","5954","5770"
"10.04.2018 12:00 - 10.04.2018 13:00","5946","5767"
"10.04.2018 13:00 - 10.04.2018 14:00","5807","5550"
"10.04.2018 14:00 - 10.04.2018 15:00","5585","5344"
"10.04.2018 15:00 - 10.04.2018 16:00","5350","5164"
"10.04.2018 16:00 - 10.04.2018 17:00","5288","5076"
"10.04.2018 17:00 - 10.04.2018 18:00","5388","5123"
"10.04.2018 18:00 - 10.04.2018 19:00","5646","5388"
"10.04.2018 19:00 - 10.04.2018 20:00","6174","6078"
"10.04.2018 20:00 - 10.04.2018 21:00","6184","5976"
"10.04.2018 21:00 - 10.04.2018 22:00","5614","5409"
"10.04.2018 22:00 - 10.04.2018 23:00","5163","5038"
"10.04.2018 23:00 - 11.04.2018 00:00","4427","4652"
"11.04.2018 00:00 - 11.04.2018 01:00","4078","4280"
"11.04.2018 01:00 - 11.04.2018 02:00","3927","4191"
"11.04.2018 02:00 - 11.04.2018 03:00","3819","4095"
"11.04.2018 03:00 - 11.04.2018 04:00","3807","4045"
"11.04.2018 04:00 - 11.04.2018 05:00","3907","4132"
"11.04.2018 05:00 - 11.04.2018 06:00","4146","4430"
"11.04.2018 06:00 - 11.04.2018 07:00","4641","4789"
"11.04.2018 07:00 - 11.04.2018 08:00","5082","5363"
"11.04.2018 08:00 - 11.04.2018 09:00","5441","5851"
"11.04.2018 09:00 - 11.04.2018 10:00","5566","6077"
"11.04.2018 10:00 - 11.04.2018 11:00","5645","6281"
"11.04.2018 11:00 - 11.04.2018 12:00","5734","6271"
"11.04.2018 12:00 - 11.04.2018 13:00","5751","6157"
"11.04.2018 13:00 - 11.04.2018 14:00","5497","5890"
"11.04.2018 14:00 - 11.04.2018 15:00","5256","5663"
"11.04.2018 15:00 - 11.04.2018 16:00","5067","5432"
"11.04.2018 16:00 - 11.04.2018 17:00","5058","5312"
"11.04.2018 17:00 - 11.04.2018 18:00","5170","5297"
"11.04.2018 18:00 - 11.04.2018 19:00","5478","5488"
"11.04.2018 19:00 - 11.04.2018 20:00","6098","6233"
"11.04.2018 20:00 - 11.04.2018 21:00","6128","6251"
"11.04.2018 21:00 - 11.04.2018 22:00","5507","5714"
"11.04.2018 22:00 - 11.04.2018 23:00","5006","5293"
"11.04.2018 23:00 - 12.04.2018 00:00","4750","4768"
"12.04.2018 00:00 - 12.04.2018 01:00","4380","4404"
"12.04.2018 01:00 - 12.04.2018 02:00","4268","4300"
"12.04.2018 02:00 - 12.04.2018 03:00","4160","4199"
"12.04.2018 03:00 - 12.04.2018 04:00","4130","4178"
"12.04.2018 04:00 - 12.04.2018 05:00","4230","4249"
"12.04.2018 05:00 - 12.04.2018 06:00","4529","4522"
"12.04.2018 06:00 - 12.04.2018 07:00","5033","4853"
"12.04.2018 07:00 - 12.04.2018 08:00","5496","5289"
"12.04.2018 08:00 - 12.04.2018 09:00","5850","5676"
"12.04.2018 09:00 - 12.04.2018 10:00","6002","5829"
"12.04.2018 10:00 - 12.04.2018 11:00","6127","5939"
"12.04.2018 11:00 - 12.04.2018 12:00","6166","5972"
"12.04.2018 12:00 - 12.04.2018 13:00","6087","5917"
"12.04.2018 13:00 - 12.04.2018 14:00","5816","5609"
"12.04.2018 14:00 - 12.04.2018 15:00","5593","5419"
"12.04.2018 15:00 - 12.04.2018 16:00","5374","5180"
"12.04.2018 16:00 - 12.04.2018 17:00","5331","5054"
"12.04.2018 17:00 - 12.04.2018 18:00","5412","5107"
"12.04.2018 18:00 - 12.04.2018 19:00","5640","5301"
"12.04.2018 19:00 - 12.04.2018 20:00","6202","5947"
"12.04.2018 20:00 - 12.04.2018 21:00","6221","5933"
"12.04.2018 21:00 - 12.04.2018 22:00","5631","5448"
"12.04.2018 22:00 - 12.04.2018 23:00","5180","5128"
"12.04.2018 23:00 - 13.04.2018 00:00","4717","4681"
"13.04.2018 00:00 - 13.04.2018 01:00","4337","4258"
"13.04.2018 01:00 - 13.04.2018 02:00","4195","4111"
"13.04.2018 02:00 - 13.04.2018 03:00","4077","4058"
"13.04.2018 03:00 - 13.04.2018 04:00","4057","4056"
"13.04.2018 04:00 - 13.04.2018 05:00","4156","4131"
"13.04.2018 05:00 - 13.04.2018 06:00","4456","4438"
"13.04.2018 06:00 - 13.04.2018 07:00","4869","4832"
"13.04.2018 07:00 - 13.04.2018 08:00","5329","5326"
"13.04.2018 08:00 - 13.04.2018 09:00","5695","5692"
"13.04.2018 09:00 - 13.04.2018 10:00","5827","5893"
"13.04.2018 10:00 - 13.04.2018 11:00","5907","6003"
"13.04.2018 11:00 - 13.04.2018 12:00","5976","5995"
"13.04.2018 12:00 - 13.04.2018 13:00","5974","5933"
"13.04.2018 13:00 - 13.04.2018 14:00","5726","5673"
"13.04.2018 14:00 - 13.04.2018 15:00","5527","5438"
"13.04.2018 15:00 - 13.04.2018 16:00","5319","5251"
"13.04.2018 16:00 - 13.04.2018 17:00","5253","5153"
"13.04.2018 17:00 - 13.04.2018 18:00","5341","5171"
"13.04.2018 18:00 - 13.04.2018 19:00","5581","5363"
"13.04.2018 19:00 - 13.04.2018 20:00","6179","6006"
"13.04.2018 20:00 - 13.04.2018 21:00","6209","5975"
"13.04.2018 21:00 - 13.04.2018 22:00","5617","5492"
"13.04.2018 22:00 - 13.04.2018 23:00","5156","5174"
"13.04.2018 23:00 - 14.04.2018 00:00","4747","4715"
"14.04.2018 00:00 - 14.04.2018 01:00","4396","4444"
"14.04.2018 01:00 - 14.04.2018 02:00","4255","4321"
"14.04.2018 02:00 - 14.04.2018 03:00","4137","4218"
"14.04.2018 03:00 - 14.04.2018 04:00","4107","4111"
"14.04.2018 04:00 - 14.04.2018 05:00","4136","4164"
"14.04.2018 05:00 - 14.04.2018 06:00","4226","4221"
"14.04.2018 06:00 - 14.04.2018 07:00","4476","4339"
"14.04.2018 07:00 - 14.04.2018 08:00","4921","4817"
"14.04.2018 08:00 - 14.04.2018 09:00","5377","5272"
"14.04.2018 09:00 - 14.04.2018 10:00","5680","5521"
"14.04.2018 10:00 - 14.04.2018 11:00","5851","5678"
